timestamp,open,high,low,close,volume,ind_MACD 1m,ind_MACD 5m,ind_MACD5m Bear,ind_Super Trend Bull,raw_MACD 1m,raw_MACD 5m,raw_MACD5m Bear,raw_Super Trend Bull,bar_Bear,bar_Bull
2026-03-25T13:22:34.233233+00:00,390.8,390.8,390.8,390.8,1465961,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:37.327040+00:00,390.86,390.86,390.86,390.86,1466536,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:38.371949+00:00,390.9,390.9,390.9,390.9,0,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:38.533000+00:00,390.8,390.8,390.8,390.8,1466636,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:40.442848+00:00,390.85,390.85,390.85,390.85,1466811,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:43.578582+00:00,390.86,390.86,390.86,390.86,1466813,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:45.669356+00:00,390.9,390.9,390.9,390.9,0,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:46.715115+00:00,390.85,390.85,390.85,390.85,1466852,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:47.765406+00:00,390.86,390.86,390.86,390.86,1466878,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:48.805041+00:00,390.85,390.85,390.85,390.85,1466919,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:49.850901+00:00,390.84,390.84,390.84,390.84,1466929,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:50.876203+00:00,390.9292,390.9292,390.9292,390.9292,1467329,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:51.921459+00:00,390.85,390.85,390.85,390.85,1467353,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:56.083451+00:00,390.87,390.87,390.87,390.87,1467359,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-25T13:22:56.661000+00:00,390.872,390.872,390.872,390.872,1467384,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
