timestamp,open,high,low,close,volume,ind_MACD 1m,ind_MACD 5m,ind_MACD5m Bear,ind_Super Trend Bull,raw_MACD 1m,raw_MACD 5m,raw_MACD5m Bear,raw_Super Trend Bull,bar_Bear,bar_Bull
2026-03-17T13:29:44.263807+00:00,399.97,399.97,399.97,399.97,187218,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:29:49.007000+00:00,400.01,400.01,400.01,400.01,187254,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:29:57.106000+00:00,400.17,400.17,400.17,400.17,187264,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:00.070000+00:00,400.27,400.27,400.27,400.27,188112,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:01.095000+00:00,399.58,399.58,399.58,399.58,205567,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:02.373000+00:00,399.63,399.63,399.63,399.63,550764,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:03.355000+00:00,399.74,399.74,399.74,399.74,556245,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:04.282000+00:00,399.84,399.84,399.84,399.84,578764,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:05.339000+00:00,399.695,399.695,399.695,399.695,585271,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:06.289000+00:00,399.78,399.78,399.78,399.78,596078,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:07.590000+00:00,399.33,399.33,399.33,399.33,612436,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:08.526000+00:00,399.5,399.5,399.5,399.5,617412,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:09.833000+00:00,399.725,399.725,399.725,399.725,618548,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:14.854000+00:00,400.5,400.5,400.5,400.5,661558,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:15.861000+00:00,400.2,400.2,400.2,400.2,668284,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:18.942000+00:00,400.04,400.04,400.04,400.04,674789,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:20.109000+00:00,400.215,400.215,400.215,400.215,674952,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
2026-03-17T13:30:20.947000+00:00,399.97,399.97,399.97,399.97,676998,0.0,nan,nan,1.0,0.0,nan,nan,1.0,nan,nan
