timestamp,open,high,low,close,volume,ind_MACD 1m,ind_MACD 5m,ind_MACD5m Bear,ind_Super Trend Bull,raw_MACD 1m,raw_MACD 5m,raw_MACD5m Bear,raw_Super Trend Bull,bar_Bear,bar_Bull
2026-03-23T13:58:44.341000+00:00,177.905,177.905,177.905,177.905,37355172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:45.203000+00:00,177.8999,177.8999,177.8999,177.8999,37365651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:46.619000+00:00,177.895,177.895,177.895,177.895,37389832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:47.625000+00:00,177.848,177.848,177.848,177.848,37397297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:48.557000+00:00,177.88,177.88,177.88,177.88,37423775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:49.538000+00:00,177.8701,177.8701,177.8701,177.8701,37445720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:50.523000+00:00,177.835,177.835,177.835,177.835,37454461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:51.634000+00:00,177.78,177.78,177.78,177.78,37461781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:52.615000+00:00,177.73,177.73,177.73,177.73,37470791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:53.620000+00:00,177.76,177.76,177.76,177.76,37485307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:54.616000+00:00,177.7695,177.7695,177.7695,177.7695,37492101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:55.560000+00:00,177.7399,177.7399,177.7399,177.7399,37497905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:56.636000+00:00,177.74,177.74,177.74,177.74,37499817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:57.594000+00:00,177.7499,177.7499,177.7499,177.7499,37509277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:58.485000+00:00,177.765,177.765,177.765,177.765,37512274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:58:59.841000+00:00,177.755,177.755,177.755,177.755,37517518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-23T13:59:00.888000+00:00,177.745,177.745,177.745,177.745,37534411,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:01.856000+00:00,177.7791,177.7791,177.7791,177.7791,37545448,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:02.840000+00:00,177.78,177.78,177.78,177.78,37553535,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:03.835000+00:00,177.795,177.795,177.795,177.795,37566455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:04.875000+00:00,177.8,177.8,177.8,177.8,37575521,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:06.888000+00:00,177.7899,177.7899,177.7899,177.7899,37618006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:07.888000+00:00,177.77,177.77,177.77,177.77,37634756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:08.822000+00:00,177.7007,177.7007,177.7007,177.7007,37683908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:09.837000+00:00,177.658,177.658,177.658,177.658,37710756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2026-03-23T13:59:11.130000+00:00,177.67,177.67,177.67,177.67,37723696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
